Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Country,Postal Code,Market,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority
ES-2012-1208415,2012-09-05,9/6/12,First Class,BP-11050,Barry Pond,Corporate,London,England,United Kingdom,,EU,North,FUR-BO-10002680,Furniture,Bookcases,"Sauder 3-Shelf Cabinet, Traditional",750.06,5,0.1,91.56,106.25,High
MX-2012-167122,2012-04-23,4/27/12,Standard Class,ML-17395,Marina Lichtenstein,Corporate,Santa Clara,Villa Clara,Cuba,,LATAM,Caribbean,TEC-CO-10000344,Technology,Copiers,"Hewlett Copy Machine, Color",1219.61588,7,0.002,266.35588,103.26,High
CA-2012-140984,2012-09-14,9/18/12,Standard Class,CC-12685,Craig Carroll,Consumer,New York City,New York,United States,10011.0,US,East,OFF-ST-10000585,Office Supplies,Storage,Economy Rollaway Files,991.2,6,0.0,257.712,103.01,Medium
CA-2012-140557,2012-09-07,9/11/12,Standard Class,TN-21040,Tanja Norvell,Home Office,New York City,New York,United States,10009.0,US,East,TEC-AC-10002402,Technology,Accessories,Razer Kraken PRO Over Ear PC and Music Headset,559.93,7,0.0,167.979,101.52,High
IT-2012-1519794,2012-01-11,1/15/12,Standard Class,TS-21655,Trudy Schmidt,Consumer,London,England,United Kingdom,,EU,North,TEC-CO-10000270,Technology,Copiers,"Hewlett Fax Machine, High-Speed",2004.156,7,0.1,-0.084,98.86,Medium
ES-2012-5985650,2012-08-03,8/7/12,Second Class,TB-21625,Trudy Brown,Consumer,London,England,United Kingdom,,EU,North,TEC-CO-10004154,Technology,Copiers,"Canon Copy Machine, Digital",706.806,3,0.1,7.776,97.89,High
ES-2012-3241112,2012-06-28,7/3/12,Standard Class,AH-10120,Adrian Hane,Home Office,London,England,United Kingdom,,EU,North,FUR-CH-10000685,Furniture,Chairs,"Hon Executive Leather Armchair, Black",822.852,2,0.1,246.852,92.78,Medium
CA-2012-169796,2012-11-09,11/14/12,Standard Class,Dp-13240,Dean percer,Home Office,New York City,New York,United States,10035.0,US,East,TEC-MA-10000045,Technology,Machines,Zebra ZM400 Thermal Label Printer,2321.9,2,0.0,1114.512,92.2,High
CA-2012-110765,2012-10-16,10/20/12,Second Class,MP-17965,Michael Paige,Corporate,New York City,New York,United States,10011.0,US,East,TEC-PH-10004165,Technology,Phones,Mitel MiVoice 5330e IP Phone,824.97,3,0.0,214.4922,82.36,Medium
US-2012-157154,2012-01-10,1/15/12,Standard Class,MM-17920,Michael Moore,Consumer,New York City,New York,United States,10011.0,US,East,FUR-TA-10001889,Furniture,Tables,Bush Advantage Collection Racetrack Conference Table,1018.104,4,0.4,-373.3048,81.27,Medium
CA-2012-114811,2012-11-08,11/8/12,Same Day,KD-16495,Keith Dawkins,Corporate,New York City,New York,United States,10024.0,US,East,FUR-CH-10003746,Furniture,Chairs,Hon 4070 Series Pagoda Round Back Stacking Chairs,577.764,2,0.1,115.5528,78.0,Medium
CA-2012-108665,2012-07-06,7/10/12,Standard Class,KM-16225,Kalyca Meade,Corporate,New York City,New York,United States,10011.0,US,East,OFF-ST-10001526,Office Supplies,Storage,Iceberg Mobile Mega Data/Printer Cart ,601.65,5,0.0,156.429,77.87,High
CA-2012-164539,2012-11-16,11/22/12,Standard Class,PO-19180,Philisse Overcash,Home Office,New York City,New York,United States,10011.0,US,East,OFF-AP-10002457,Office Supplies,Appliances,"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",523.25,5,0.0,141.2775,74.71,Low
CA-2012-103177,2012-05-30,6/1/12,First Class,EN-13780,Edward Nazzal,Consumer,New York City,New York,United States,10009.0,US,East,TEC-PH-10001795,Technology,Phones,RCA H5401RE1 DECT 6.0 4-Line Cordless Handset With Caller ID/Call Waiting,239.97,3,0.0,2.3997,73.75,High
ES-2012-4825433,2012-03-16,3/16/12,Same Day,SC-20020,Sam Craven,Consumer,London,England,United Kingdom,,EU,North,FUR-CH-10001150,Furniture,Chairs,"SAFCO Steel Folding Chair, Red",308.556,4,0.1,126.756,71.64,Medium
CA-2012-113145,2012-11-01,11/5/12,Standard Class,VD-21670,Valerie Dominguez,Consumer,New York City,New York,United States,10011.0,US,East,TEC-AC-10001838,Technology,Accessories,Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,1399.93,7,0.0,601.9699,70.34,Medium
CA-2012-145814,2012-11-19,11/24/12,Standard Class,KD-16345,Katherine Ducich,Consumer,New York City,New York,United States,10035.0,US,East,TEC-PH-10002200,Technology,Phones,Aastra 6757i CT Wireless VoIP phone,861.76,4,0.0,249.9104,68.46,Medium
ES-2012-4362177,2012-08-29,8/30/12,First Class,RD-19585,Rob Dowd,Consumer,London,England,United Kingdom,,EU,North,TEC-PH-10004827,Technology,Phones,"Samsung Headset, Cordless",342.225,5,0.1,140.625,66.24,Critical
CA-2012-109512,2012-03-05,3/5/12,Same Day,LF-17185,Luke Foster,Consumer,New York City,New York,United States,10011.0,US,East,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",383.607,7,0.1,63.9345,62.5,Critical
ES-2012-5325598,2012-05-22,5/27/12,Second Class,KD-16495,Keith Dawkins,Corporate,London,England,United Kingdom,,EU,North,FUR-CH-10004462,Furniture,Chairs,"Hon Executive Leather Armchair, Adjustable",827.334,2,0.1,156.234,62.44,High
ES-2012-1929989,2012-04-26,4/30/12,Standard Class,VS-21820,Vivek Sundaresam,Consumer,London,England,United Kingdom,,EU,North,FUR-BO-10002936,Furniture,Bookcases,"Ikea Stackable Bookrack, Pine",334.611,3,0.1,148.671,58.11,High
CA-2012-109512,2012-03-05,3/5/12,Same Day,LF-17185,Luke Foster,Consumer,New York City,New York,United States,10011.0,US,East,OFF-ST-10000689,Office Supplies,Storage,"Fellowes Strictly Business Drawer File, Letter/Legal Size",563.4,4,0.0,67.608,49.81,Critical
MX-2012-151176,2012-09-20,9/25/12,Standard Class,BF-11215,Benjamin Farhat,Home Office,Santa Clara,Villa Clara,Cuba,,LATAM,Caribbean,FUR-CH-10004095,Furniture,Chairs,"SAFCO Executive Leather Armchair, Adjustable",618.56,2,0.0,235.04,49.37,Medium
CA-2012-113152,2012-12-25,12/30/12,Standard Class,JK-15625,Jim Karlsson,Consumer,New York City,New York,United States,10024.0,US,East,TEC-AC-10002049,Technology,Accessories,Plantronics Savi W720 Multi-Device Wireless Headset System,843.9,2,0.0,371.316,48.46,High
CA-2012-143980,2012-12-25,12/29/12,Standard Class,JK-15640,Jim Kriz,Home Office,New York City,New York,United States,10011.0,US,East,OFF-AP-10003779,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,414.96,2,0.0,124.488,46.58,High
CA-2012-113145,2012-11-01,11/5/12,Standard Class,VD-21670,Valerie Dominguez,Consumer,New York City,New York,United States,10011.0,US,East,TEC-PH-10002597,Technology,Phones,Xblue XB-1670-86 X16 Small Office Telephone - Titanium,503.96,4,0.0,125.99,46.13,Medium
CA-2012-126739,2012-11-01,11/3/12,Second Class,JH-16180,Justin Hirsh,Consumer,New York City,New York,United States,10035.0,US,East,FUR-CH-10000422,Furniture,Chairs,Global Highback Leather Tilter in Burgundy,327.564,4,0.1,21.8376,45.24,High
ES-2012-1211810,2012-06-29,7/4/12,Second Class,BS-11800,Bryan Spruell,Home Office,London,England,United Kingdom,,EU,North,OFF-ST-10002175,Office Supplies,Storage,"Fellowes Lockers, Single Width",559.872,3,0.1,43.542,45.03,High
CA-2012-114811,2012-11-08,11/8/12,Same Day,KD-16495,Keith Dawkins,Corporate,New York City,New York,United States,10024.0,US,East,TEC-PH-10004165,Technology,Phones,Mitel MiVoice 5330e IP Phone,549.98,2,0.0,142.9948,44.1,Medium
IT-2012-2666705,2012-08-23,8/29/12,Standard Class,SR-20425,Sharelle Roach,Home Office,London,England,United Kingdom,,EU,North,OFF-AR-10004492,Office Supplies,Art,"BIC Canvas, Blue",338.31,7,0.1,-7.56,42.18,Low
MX-2012-130918,2012-11-08,11/10/12,Second Class,AT-10735,Annie Thurman,Consumer,Santa Clara,Villa Clara,Cuba,,LATAM,Caribbean,FUR-BO-10000746,Furniture,Bookcases,"Ikea Corner Shelving, Mobile",418.6,5,0.0,179.9,41.4,Medium
CA-2012-159534,2012-03-20,3/23/12,First Class,DH-13075,Dave Hallsten,Corporate,New York City,New York,United States,10035.0,US,East,TEC-PH-10002310,Technology,Phones,Panasonic KX T7731-B Digital phone,199.98,2,0.0,53.9946,40.45,High
CA-2012-120915,2012-09-28,10/3/12,Second Class,JJ-15445,Jennifer Jackson,Consumer,New York City,New York,United States,10035.0,US,East,OFF-AP-10002578,Office Supplies,Appliances,"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote",293.52,6,0.0,76.3152,40.22,Medium
ES-2012-4203057,2012-09-06,9/8/12,Second Class,RO-19780,Rose O'Brian,Consumer,London,England,United Kingdom,,EU,North,OFF-ST-10002539,Office Supplies,Storage,"Fellowes Shelving, Single Width",260.415,5,0.1,46.215,38.87,High
ES-2012-3075765,2012-07-11,7/14/12,First Class,DS-13180,David Smith,Corporate,London,England,United Kingdom,,EU,North,TEC-PH-10001148,Technology,Phones,"Samsung Signal Booster, VoIP",246.024,2,0.1,65.604,38.18,Medium
CA-2012-110814,2012-12-05,12/9/12,Second Class,BD-11635,Brian Derr,Consumer,New York City,New York,United States,10009.0,US,East,OFF-BI-10002026,Office Supplies,Binders,Avery Arch Ring Binders,232.4,5,0.2,78.435,36.67,Medium
CA-2012-140984,2012-09-14,9/18/12,Standard Class,CC-12685,Craig Carroll,Consumer,New York City,New York,United States,10011.0,US,East,TEC-CO-10001571,Technology,Copiers,Sharp 1540cs Digital Laser Copier,879.984,2,0.2,329.994,36.27,Medium
CA-2012-143105,2012-12-10,12/10/12,Same Day,MA-17560,Matt Abelman,Home Office,New York City,New York,United States,10024.0,US,East,OFF-PA-10002254,Office Supplies,Paper,Xerox 1883,184.66,7,0.0,84.9436,35.87,High
CA-2012-111164,2012-04-11,4/15/12,Standard Class,SE-20110,Sanjit Engle,Consumer,New York City,New York,United States,10009.0,US,East,OFF-AP-10004487,Office Supplies,Appliances,Kensington 4 Outlet MasterPiece Compact Power Control Center,406.6,5,0.0,113.848,35.03,Medium
CA-2012-142475,2012-12-03,12/7/12,Standard Class,BS-11380,Bill Stewart,Corporate,New York City,New York,United States,10011.0,US,East,OFF-BI-10003718,Office Supplies,Binders,GBC Therma-A-Bind 250T Electric Binding System,590.352,6,0.2,206.6232,34.96,Medium
US-2012-137960,2012-12-18,12/18/12,Same Day,MW-18220,Mitch Webber,Consumer,New York City,New York,United States,10035.0,US,East,TEC-AC-10002253,Technology,Accessories,Imation Bio 8GB USB Flash Drive Imation Corp,166.24,1,0.0,24.936,33.78,Medium
ES-2012-4848943,2012-06-25,6/29/12,Standard Class,DM-12955,Dario Medina,Corporate,London,England,United Kingdom,,EU,North,OFF-ST-10003995,Office Supplies,Storage,"Eldon File Cart, Single Width",345.384,3,0.1,30.654,33.37,Medium
CA-2012-131338,2012-08-09,8/12/12,First Class,NP-18325,Naresj Patel,Consumer,New York City,New York,United States,10024.0,US,East,TEC-PH-10003012,Technology,Phones,Nortel Meridian M3904 Professional Digital phone,307.98,2,0.0,89.3142,32.96,Medium
CA-2012-113152,2012-12-25,12/30/12,Standard Class,JK-15625,Jim Karlsson,Consumer,New York City,New York,United States,10024.0,US,East,FUR-BO-10002613,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",449.568,2,0.2,56.196,31.59,High
IT-2012-2666705,2012-08-23,8/29/12,Standard Class,SR-20425,Sharelle Roach,Home Office,London,England,United Kingdom,,EU,North,TEC-AC-10003518,Technology,Accessories,"Logitech Router, USB",222.777,1,0.1,4.947,31.47,Low
CA-2012-165799,2012-06-29,7/2/12,First Class,SG-20470,Sheri Gordon,Consumer,New York City,New York,United States,10024.0,US,East,FUR-CH-10001482,Furniture,Chairs,Office Star - Mesh Screen back chair with Vinyl seat,117.882,1,0.1,1.3098,30.94,Critical
CA-2012-131338,2012-08-09,8/12/12,First Class,NP-18325,Naresj Patel,Consumer,New York City,New York,United States,10024.0,US,East,OFF-PA-10001357,Office Supplies,Paper,Xerox 1886,143.7,3,0.0,68.976,30.92,Medium
CA-2012-139584,2012-08-24,8/28/12,Standard Class,EM-13810,Eleni McCrary,Corporate,New York City,New York,United States,10009.0,US,East,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,284.364,2,0.4,-75.8304,30.26,High
CA-2012-103177,2012-05-30,6/1/12,First Class,EN-13780,Edward Nazzal,Consumer,New York City,New York,United States,10009.0,US,East,OFF-AP-10004540,Office Supplies,Appliances,"Eureka The Boss Lite 10-Amp Upright Vacuum, Blue",160.32,2,0.0,44.8896,29.92,High
CA-2012-124933,2012-12-26,12/30/12,Second Class,DF-13135,David Flashing,Consumer,New York City,New York,United States,10009.0,US,East,OFF-PA-10003302,Office Supplies,Paper,Xerox 1906,212.64,6,0.0,99.9408,29.27,Medium
ES-2012-2113350,2012-07-24,7/28/12,Second Class,OT-18730,Olvera Toch,Consumer,London,England,United Kingdom,,EU,North,OFF-ST-10002506,Office Supplies,Storage,"Smead Lockers, Blue",1071.468,6,0.1,83.268,29.05,Medium
CA-2012-132465,2012-09-11,9/15/12,Second Class,DM-13525,Don Miller,Corporate,New York City,New York,United States,10035.0,US,East,FUR-FU-10000277,Furniture,Furnishings,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,210.68,2,0.0,50.5632,28.83,Medium
CA-2012-137925,2012-11-30,12/4/12,Standard Class,JL-15235,Janet Lee,Consumer,New York City,New York,United States,10035.0,US,East,FUR-BO-10001608,Furniture,Bookcases,"Hon Metal Bookcases, Black",681.408,12,0.2,42.588,28.71,Medium
US-2012-138919,2012-09-17,9/21/12,Standard Class,LS-16975,Lindsay Shagiari,Home Office,New York City,New York,United States,10035.0,US,East,FUR-TA-10004154,Furniture,Tables,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",344.22,2,0.4,-103.266,28.49,Medium
CA-2012-131338,2012-08-09,8/12/12,First Class,NP-18325,Naresj Patel,Consumer,New York City,New York,United States,10024.0,US,East,TEC-AC-10002600,Technology,Accessories,Belkin QODE FastFit Bluetooth Keyboard,247.8,4,0.0,34.692,28.35,Medium
US-2012-160857,2012-05-08,5/15/12,Standard Class,NW-18400,Natalie Webber,Consumer,New York City,New York,United States,10024.0,US,East,OFF-SU-10000157,Office Supplies,Supplies,Compact Automatic Electric Letter Opener,357.93,3,0.0,7.1586,27.62,Medium
CA-2012-132465,2012-09-11,9/15/12,Second Class,DM-13525,Don Miller,Corporate,New York City,New York,United States,10035.0,US,East,OFF-ST-10001932,Office Supplies,Storage,Fellowes Staxonsteel Drawer Files,772.68,4,0.0,108.1752,27.59,Medium
CA-2012-166464,2012-09-12,9/17/12,Standard Class,PG-18895,Paul Gonzalez,Consumer,New York City,New York,United States,10035.0,US,East,TEC-CO-10000971,Technology,Copiers,Hewlett Packard 310 Color Digital Copier,479.984,2,0.2,59.998,27.09,Medium
ES-2012-4002217,2012-11-27,12/3/12,Standard Class,SC-20230,Scot Coram,Corporate,London,England,United Kingdom,,EU,North,FUR-CH-10004194,Furniture,Chairs,"Novimex Bag Chairs, Red",206.82,5,0.1,36.72,26.12,Low
US-2012-126977,2012-09-17,9/23/12,Standard Class,PF-19120,Peter Fuller,Consumer,New York City,New York,United States,10035.0,US,East,FUR-CH-10001973,Furniture,Chairs,Office Star Flex Back Scooter Chair with White Frame,199.764,2,0.1,8.8784,25.95,Medium
US-2012-163825,2012-06-16,6/19/12,First Class,LC-16885,Lena Creighton,Consumer,New York City,New York,United States,10009.0,US,East,TEC-PH-10004922,Technology,Phones,RCA Visys Integrated PBX 8-Line Router,133.98,2,0.0,33.495,25.86,High
ES-2012-4825433,2012-03-16,3/16/12,Same Day,SC-20020,Sam Craven,Consumer,London,England,United Kingdom,,EU,North,OFF-BI-10003616,Office Supplies,Binders,"Avery Binding Machine, Clear",173.88,4,0.1,3.84,25.79,Medium
CA-2012-130659,2012-12-04,12/9/12,Second Class,MS-17365,Maribeth Schnelling,Consumer,New York City,New York,United States,10035.0,US,East,FUR-CH-10003535,Furniture,Chairs,"Global Armless Task Chair, Royal Blue",384.174,7,0.1,29.8802,25.51,Medium
ES-2012-5238758,2012-12-17,12/23/12,Standard Class,SJ-20125,Sanjit Jacobs,Home Office,London,England,United Kingdom,,EU,North,OFF-AR-10000399,Office Supplies,Art,"Stanley Canvas, Water Color",379.08,8,0.1,143.16,25.18,Medium
CA-2012-138954,2012-11-15,11/17/12,First Class,MH-17785,Maya Herman,Corporate,New York City,New York,United States,10035.0,US,East,OFF-AR-10001955,Office Supplies,Art,Newell 319,119.04,6,0.0,35.712,25.13,Critical
IT-2012-2666705,2012-08-23,8/29/12,Standard Class,SR-20425,Sharelle Roach,Home Office,London,England,United Kingdom,,EU,North,OFF-ST-10002172,Office Supplies,Storage,"Fellowes Trays, Blue",206.604,4,0.1,-6.996,24.85,Low
CA-2012-113145,2012-11-01,11/5/12,Standard Class,VD-21670,Valerie Dominguez,Consumer,New York City,New York,United States,10011.0,US,East,FUR-FU-10000965,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",259.7,5,0.0,106.477,24.3,Medium
MX-2012-167122,2012-04-23,4/27/12,Standard Class,ML-17395,Marina Lichtenstein,Corporate,Santa Clara,Villa Clara,Cuba,,LATAM,Caribbean,FUR-CH-10002547,Furniture,Chairs,"Office Star Steel Folding Chair, Red",183.42,3,0.0,20.16,23.55,High
CA-2012-164084,2012-09-07,9/12/12,Standard Class,AG-10525,Andy Gerbode,Corporate,New York City,New York,United States,10011.0,US,East,FUR-TA-10003569,Furniture,Tables,Bretford CR8500 Series Meeting Room Furniture,481.176,2,0.4,-120.294,22.01,Medium
CA-2012-150791,2012-09-06,9/13/12,Standard Class,CC-12430,Chuck Clark,Home Office,New York City,New York,United States,10024.0,US,East,FUR-CH-10000665,Furniture,Chairs,"Global Airflow Leather Mesh Back Chair, Black",271.764,2,0.1,60.392,21.84,Medium
ES-2012-3241112,2012-06-28,7/3/12,Standard Class,AH-10120,Adrian Hane,Home Office,London,England,United Kingdom,,EU,North,OFF-SU-10001909,Office Supplies,Supplies,"Fiskars Scissors, Steel",284.256,14,0.1,122.976,21.55,Medium
ES-2012-5238758,2012-12-17,12/23/12,Standard Class,SJ-20125,Sanjit Jacobs,Home Office,London,England,United Kingdom,,EU,North,OFF-AR-10000399,Office Supplies,Art,"Stanley Canvas, Water Color",331.695,7,0.1,125.265,21.33,Medium
ES-2012-4687979,2012-09-01,9/5/12,Standard Class,SD-20485,Shirley Daniels,Home Office,London,England,United Kingdom,,EU,North,OFF-AR-10000980,Office Supplies,Art,"Sanford Pencil Sharpener, Water Color",140.94,6,0.1,25.02,20.37,High
CA-2012-122973,2012-07-18,7/20/12,Second Class,PJ-19015,Pauline Johnson,Consumer,New York City,New York,United States,10024.0,US,East,TEC-PH-10002468,Technology,Phones,"Plantronics CS 50-USB - headset - Convertible, Monaural",135.99,1,0.0,36.7173,20.19,High
IT-2012-2666705,2012-08-23,8/29/12,Standard Class,SR-20425,Sharelle Roach,Home Office,London,England,United Kingdom,,EU,North,OFF-AR-10002145,Office Supplies,Art,"Binney & Smith Sketch Pad, Fluorescent",171.288,4,0.1,-9.552,20.13,Low
CA-2012-135489,2012-09-19,9/22/12,Second Class,GW-14605,Giulietta Weimer,Consumer,New York City,New York,United States,10024.0,US,East,TEC-PH-10000011,Technology,Phones,PureGear Roll-On Screen Protector,279.86,14,0.0,134.3328,19.05,High
